Latitude,Longitude,Altitude,Satelites
37.638234,-7.661751,0.00,7
37.638234,-7.661751,-5.70,7
37.638207,-7.661751,-5.70,7
37.638233,-7.661732,0.10,7
37.638269,-7.661737,0.10,7
37.638188,-7.661749,0.10,7
37.638188,-7.661749,1.80,7
37.638129,-7.661751,1.80,7
37.638126,-7.661747,11.60,7
37.638153,-7.661737,11.60,7
37.638153,-7.661737,6.30,7
37.638148,-7.661731,6.30,7
37.638147,-7.661735,6.30,7
37.638148,-7.661748,5.10,7
37.638138,-7.661698,5.10,7
37.638138,-7.661698,6.50,7
37.638138,-7.661733,6.50,7
37.638133,-7.661738,9.90,7
37.638126,-7.661744,9.90,7
37.638115,-7.661749,11.40,7
37.638101,-7.661747,11.40,7
37.638101,-7.661747,16.70,7
37.638088,-7.661742,16.70,7
37.638095,-7.661736,16.70,7
37.638095,-7.661736,17.30,7
37.638100,-7.661746,17.30,7
37.638098,-7.661751,17.30,7
37.638080,-7.661777,17.40,7
37.638056,-7.661793,17.40,7
37.638056,-7.661793,29.00,7
37.638042,-7.661808,29.00,7
37.638037,-7.661808,29.00,7
37.638037,-7.661808,31.90,6
37.638034,-7.661810,31.90,6
37.638031,-7.661812,31.90,6
37.638027,-7.661815,32.40,7
37.638026,-7.661815,32.40,7
37.638026,-7.661815,32.80,7
37.638025,-7.661818,32.80,7
37.638025,-7.661818,32.40,7
37.638028,-7.661810,32.40,7
37.638028,-7.661808,32.40,7
37.638028,-7.661808,30.90,7
37.638027,-7.661810,30.90,7
37.638029,-7.661806,30.90,7
37.638029,-7.661806,28.90,6
37.638032,-7.661805,28.90,6
37.638038,-7.661802,28.20,6
37.638042,-7.661800,28.20,6
37.638043,-7.661802,28.20,6
37.638043,-7.661802,28.70,6
37.638044,-7.661803,28.70,6
37.638046,-7.661802,28.70,6
37.638048,-7.661801,28.70,6
37.638048,-7.661800,28.70,6
37.638047,-7.661799,28.70,6
37.638047,-7.661799,28.00,7
37.638048,-7.661796,28.00,7
37.638046,-7.661789,27.80,7
37.638045,-7.661787,27.80,7
37.638041,-7.661788,27.80,7
37.638041,-7.661788,25.00,7
37.638044,-7.661789,25.00,7
37.638051,-7.661792,25.00,7
37.638058,-7.661796,25.00,7
37.638051,-7.661797,25.00,7
37.638049,-7.661795,25.00,7
37.638049,-7.661795,23.50,8
37.638047,-7.661792,23.50,8
37.638052,-7.661790,23.20,8
37.638056,-7.661790,23.20,8
37.638059,-7.661789,23.20,8
37.638059,-7.661789,23.20,7
37.638060,-7.661790,23.20,7
37.638063,-7.661778,23.20,7
37.638061,-7.661775,23.20,7
37.638061,-7.661775,23.20,8
37.638055,-7.661774,23.20,8
37.638050,-7.661776,23.20,8
37.638050,-7.661776,23.90,7
37.638047,-7.661772,23.90,7
37.638044,-7.661772,23.90,7
37.638041,-7.661770,24.90,8
37.638044,-7.661779,24.90,8
37.638046,-7.661780,24.90,8
37.638041,-7.661779,24.90,8
37.638023,-7.661778,24.90,8
37.638023,-7.661778,30.90,8
37.638020,-7.661780,30.90,8
37.637998,-7.661771,30.90,8
37.637998,-7.661771,34.40,8
37.637997,-7.661778,34.40,8
37.637992,-7.661784,34.40,8
37.637968,-7.661792,37.40,7
37.637960,-7.661795,37.40,7
37.637960,-7.661795,46.00,7
